job_id,arrival_time,num_iteration,iteration_computing_time,iteration_networking_time,gpu_workers,ps,gpu_per_worker,cpu_per_gpu_worker,cpu_per_ps_worker,tensorsizes,profiled_network
78,1296696.0,296164,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
79,1450020.0,465642,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
80,1478236.0,178614,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
81,1571564.0,310470,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
82,1789446.0,686,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
83,1790757.0,664,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
84,1808051.0,551380,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
85,1815901.0,50,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
86,1816579.0,54,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
87,1823890.0,1312,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
88,1824064.0,1216,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
89,1827673.0,56,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
90,1878808.0,72918,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
91,1880302.0,714,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
92,1881158.0,668,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
93,1881995.0,684,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
94,1883328.0,4942,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
95,1888041.0,664,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
96,1889541.0,734,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
97,1891505.0,162812,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
98,1974323.0,704,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
99,1989268.0,140,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
100,1991242.0,4586,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
101,1996838.0,2344,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
102,2009478.0,98818,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
103,2059552.0,92,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
104,2083787.0,119802,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
105,2094170.0,96094,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
106,2099374.0,68,0.5,0.25,1,0,8.0,15.0,15.0,10.0,500
107,2146201.0,29492,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
108,2173457.0,15076,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
109,2256928.0,678,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
110,2257490.0,678,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
111,2519267.0,62,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
112,2519495.0,50,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
113,2519637.0,56,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
114,2519783.0,60,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
115,2519892.0,56,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
116,2520167.0,76,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
117,2520429.0,66,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
118,2521155.0,1314,0.5,0.75,64,0,8.0,15.0,15.0,10.0,1000
119,2525899.0,286,0.5,0.75,64,0,8.0,12.5,12.5,10.0,1000
120,2526740.0,668,0.5,0.75,64,0,8.0,15.0,15.0,10.0,1000
121,2527704.0,327830,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
122,2690950.0,53402,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
123,2691680.0,664,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
124,2757807.0,40912,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
125,2789406.0,55304,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
126,2882189.0,434824,0.5,0.75,32,0,8.0,12.5,12.5,10.0,1000
127,2958474.0,40,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
128,3055340.0,2154,0.5,0.75,32,0,8.0,12.5,12.5,19.0,1000
129,3119528.0,2084,0.5,0.75,32,0,8.0,12.5,12.5,19.0,1000
130,3120683.0,2322,0.5,0.75,32,0,8.0,12.5,12.5,19.0,1000
